	Original	Rarefied	Normalized
a	71359	42242	86722
b	51064	42242	86727
c	81614	42242	86724
d	56937	42242	86725
e	78935	42242	86720
f	75761	42242	86721
g	43205	42242	86728
h	60698	42242	86726
i	66932	42242	86726
j	82446	42242	86725
k	64713	42242	86725
l	77576	42242	86725
m	44938	42242	86730
n	79080	42242	86720
o	70731	42242	86727
p	59884	42242	86720
q	42242	42242	86730
r	59798	42242	86727
s	58521	42242	86721
t	71476	42242	86724
u	86739	42242	86739
v	86712	42242	86725
w	66664	42242	86726
x	65540	42242	86727
y	54710	42242	86728
z	58954	42242	86726
