OTU	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_1	0	0	1558	5024	4232	0	0	0	1439	0	3551	2731	0	2745	0	0	0	0	0	0	0	1584	0	0	2238	0
OTU_2	0	0	0	912	0	2775	0	2599	0	0	5936	0	0	0	3447	0	2751	0	1522	0	0	0	0	5467	2955	0
OTU_3	548	0	0	1011	0	873	0	0	0	0	2808	0	165	0	0	3502	0	0	0	0	4201	1025	4063	0	0	0
OTU_4	4075	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2696	0	0	0	0	0
OTU_5	0	0	0	3471	0	2139	50	0	0	0	4783	0	0	700	4948	66	0	0	0	0	0	2277	0	0	0	3776
OTU_6	0	0	0	6742	0	0	0	4562	5486	3566	0	4745	0	0	0	0	0	0	0	0	0	0	0	1765	0	0
OTU_7	0	0	2482	0	0	0	0	471	0	0	0	0	0	4888	0	0	0	0	3041	3263	1367	0	1202	0	0	2320
OTU_8	0	0	2202	0	0	0	833	0	0	0	0	0	0	2449	423	0	0	0	0	0	3034	0	0	3238	4886	0
OTU_9	0	0	0	0	0	0	184	0	1438	2416	0	0	0	0	0	2983	0	0	0	0	1979	0	0	0	0	0
OTU_10	0	0	0	0	1072	0	0	0	0	0	0	0	0	2521	4016	0	0	0	6334	4967	1911	4149	0	1302	0	6511
OTU_11	0	0	0	0	3607	0	0	0	2397	0	0	712	0	1703	0	0	0	0	2279	2206	0	0	0	0	5431	0
OTU_12	3102	0	3701	6224	2454	0	0	0	0	0	0	0	0	3095	0	0	0	0	5656	0	3542	3576	0	1920	0	0
OTU_13	0	0	0	0	3969	0	0	0	155	0	0	0	0	0	0	0	0	0	102	3277	0	0	5145	0	0	0
OTU_14	2321	0	0	0	3788	0	0	0	5146	4102	0	0	2845	4192	3642	0	0	5681	42	5053	0	0	0	0	0	0
OTU_15	0	0	3217	0	0	0	7632	0	4156	0	0	0	0	0	0	2924	8482	0	5716	0	0	0	376	0	0	0
OTU_16	0	0	0	0	2880	2815	694	5804	0	0	0	4025	0	0	0	0	6669	0	3085	0	0	0	3872	0	4493	0
OTU_17	0	83	0	0	0	0	0	0	0	0	0	0	0	0	5064	3729	0	0	0	0	0	3940	0	0	0	0
OTU_18	0	0	4355	0	1095	0	0	0	1136	1963	0	0	0	0	0	0	0	0	420	0	542	0	0	1699	0	0
OTU_19	0	0	2271	0	0	0	0	0	0	2114	0	4530	0	0	3611	0	0	0	941	690	0	418	0	0	0	0
OTU_20	0	0	0	5609	1839	0	2945	0	0	0	2162	0	0	0	0	0	0	0	0	0	3902	1799	0	0	0	0
OTU_21	44	0	4222	0	3649	0	0	0	3369	54	0	1640	0	0	0	3521	0	2860	0	4132	2839	765	0	0	1441	0
OTU_22	0	7142	0	0	0	1607	0	0	873	0	3498	0	1679	2963	0	1630	5940	0	4375	0	1663	0	0	0	0	0
OTU_23	4803	0	3658	0	0	0	0	197	0	4165	0	0	7896	1912	0	0	0	0	0	0	1761	0	1427	0	0	0
OTU_24	0	0	3817	0	3993	0	0	0	0	3571	0	0	0	4560	0	6261	6133	0	0	0	0	0	2741	1647	0	2848
OTU_25	3542	78	0	4545	0	0	0	0	0	0	0	0	4628	4851	0	0	0	0	0	0	2040	3490	4818	4638	0	6419
