OTU	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_1	0	0	1466	3298	3852	0	0	0	1111	0	2650	2443	0	2503	0	0	0	0	0	0	0	1584	0	0	1412	0
OTU_2	0	0	0	599	0	2424	0	1819	0	0	4429	0	0	0	2811	0	1340	0	1027	0	0	0	0	4131	1864	0
OTU_3	451	0	0	664	0	763	0	0	0	0	2095	0	86	0	0	2418	0	0	0	0	4201	1025	3123	0	0	0
OTU_4	3353	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2696	0	0	0	0	0
OTU_5	0	0	0	2279	0	1869	25	0	0	0	3569	0	0	639	4035	46	0	0	0	0	0	2277	0	0	0	2567
OTU_6	0	0	0	4426	0	0	0	3193	4234	3390	0	4244	0	0	0	0	0	0	0	0	0	0	0	1334	0	0
OTU_7	0	0	2336	0	0	0	0	330	0	0	0	0	0	4457	0	0	0	0	2052	2689	1367	0	924	0	0	1577
OTU_8	0	0	2072	0	0	0	415	0	0	0	0	0	0	2233	345	0	0	0	0	0	3034	0	0	2447	3082	0
OTU_9	0	0	0	0	0	0	92	0	1110	2297	0	0	0	0	0	2060	0	0	0	0	1979	0	0	0	0	0
OTU_10	0	0	0	0	976	0	0	0	0	0	0	0	0	2299	3275	0	0	0	4274	4093	1911	4148	0	984	0	4426
OTU_11	0	0	0	0	3283	0	0	0	1850	0	0	637	0	1553	0	0	0	0	1538	1818	0	0	0	0	3426	0
OTU_12	2552	0	3483	4086	2234	0	0	0	0	0	0	0	0	2822	0	0	0	0	3816	0	3542	3575	0	1451	0	0
OTU_13	0	0	0	0	3612	0	0	0	120	0	0	0	0	0	0	0	0	0	69	2701	0	0	3955	0	0	0
OTU_14	1910	0	0	0	3448	0	0	0	3971	3899	0	0	1474	3822	2970	0	0	3917	29	4164	0	0	0	0	0	0
OTU_15	0	0	3027	0	0	0	3802	0	3207	0	0	0	0	0	0	2019	4131	0	3857	0	0	0	289	0	0	0
OTU_16	0	0	0	0	2621	2459	346	4062	0	0	0	3600	0	0	0	0	3248	0	2082	0	0	0	2976	0	2834	0
OTU_17	0	49	0	0	0	0	0	0	0	0	0	0	0	0	4130	2575	0	0	0	0	0	3939	0	0	0	0
OTU_18	0	0	4098	0	997	0	0	0	877	1866	0	0	0	0	0	0	0	0	284	0	542	0	0	1284	0	0
OTU_19	0	0	2137	0	0	0	0	0	0	2010	0	4052	0	0	2945	0	0	0	635	569	0	418	0	0	0	0
OTU_20	0	0	0	3682	1674	0	1467	0	0	0	1613	0	0	0	0	0	0	0	0	0	3902	1799	0	0	0	0
OTU_21	37	0	3973	0	3321	0	0	0	2600	52	0	1467	0	0	0	2431	0	1972	0	3405	2839	765	0	0	909	0
OTU_22	0	4205	0	0	0	1404	0	0	674	0	2610	0	870	2702	0	1126	2893	0	2952	0	1663	0	0	0	0	0
OTU_23	3952	0	3442	0	0	0	0	138	0	3959	0	0	4091	1744	0	0	0	0	0	0	1761	0	1097	0	0	0
OTU_24	0	0	3592	0	3634	0	0	0	0	3395	0	0	0	4158	0	4323	2987	0	0	0	0	0	2107	1245	0	1936
OTU_25	2914	46	0	2984	0	0	0	0	0	0	0	0	2398	4423	0	0	0	0	0	0	2040	3489	3703	3505	0	4363
OTU_26	216	0	0	0	0	0	0	3630	3886	3218	0	0	0	1494	0	922	0	4333	0	3804	1991	0	0	1881	1686	276
OTU_27	2269	0	0	0	2996	0	0	0	3197	0	0	3180	0	0	4133	0	0	0	2639	398	0	0	0	1045	0	1524
OTU_28	1795	0	0	0	1417	0	0	0	2252	0	1127	0	1926	582	0	0	0	0	0	0	0	0	343	0	0	0
OTU_29	0	4061	0	0	4384	0	0	0	1125	361	0	4314	0	0	0	0	0	2518	0	4086	0	1580	0	0	0	0
OTU_30	2044	0	2834	0	0	0	0	1408	0	0	0	3522	0	0	0	0	0	428	0	2878	0	0	0	0	0	0
OTU_31	0	2893	0	0	2205	613	2598	0	2248	4092	0	0	0	0	0	809	0	0	0	0	0	0	1709	0	0	0
OTU_32	0	0	0	0	0	0	0	0	3279	3080	0	0	0	3190	0	0	2805	0	88	0	0	0	0	0	0	0
OTU_33	1038	0	0	4057	0	2375	0	0	0	1260	2473	0	0	0	0	0	0	0	620	0	0	4088	1193	0	0	0
OTU_34	0	0	0	0	0	0	0	1225	3981	272	0	0	3015	2952	0	298	0	0	0	0	0	4112	0	2466	0	0
OTU_35	0	0	281	0	0	2385	0	0	0	0	2443	3460	0	0	460	0	527	497	0	0	0	4061	1164	4287	0	0
OTU_36	0	0	0	0	0	1596	0	3849	4227	0	3108	0	2598	0	702	0	0	1601	0	0	0	0	4062	0	3972	0
OTU_37	0	0	0	0	0	0	0	2976	0	0	0	0	0	0	2309	0	0	3430	0	429	0	995	0	0	0	0
OTU_38	0	0	0	0	0	0	0	0	0	0	2656	0	0	4147	2905	0	0	0	1705	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	1979	0	0	0	1548	0	3999	0	2368	0	0	0	3521	0	0	928	0	0	3394	0
OTU_40	0	2150	0	3828	0	0	529	0	0	0	3075	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0
OTU_41	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2711
OTU_42	0	538	4281	0	648	0	1093	868	0	3879	0	0	0	0	279	0	4415	0	0	1772	0	2853	0	3180	1293	0
